1,Exact Duplicate
2,Off-topic
3,Subjective and argumentative
4,Not a real question
7,Too localized
10,General reference
20,Noise or pointless (Meta sites only)
101,Duplicate
102,Off-topic
103,Unclear what you're asking
104,Too broad
105,Primarily opinion-based
